Word,Count
army,63
lords,63
10,50
5,30
of,24
when,24
for,22
local,19
15,17
melee,17
resistance,17
chance,17
20,16
magic,15
fighting,15
province,15
units,14
leadership,13
bonus,12
weapon,12
winds,11
against,11
missile,11
3,10
all,10
attack,10
attribute,10
4,9
reserve,9
strength,9
spell,8
rate,8
vs,8
attrition,8
defence,8
and,8
power,8
charge,8
damage,8
from,7
hero,7
increasing,7
large,6
change,6
immune,6
to,6
capacity,6
battles,5
heroes,5
chaos,5
cost,5
item,5
during,5
armourpiercing,5
income,5
action,5
in,5
2,5
8,5
enemy,5
vampire,4
with,4
relations,4
diplomatic,4
infantry,4
sea,4
30,4
region,4
range,4
armour,4
at,4
research,4
factionwide,4
casualty,4
replenishment,4
enables,4
success,4
spells,4
attacks,4
subterranean,3
rank,3
counts,3
control,3
causes,3
a,3
25,3
passive,3
ability,3
public,3
order,3
physical,3
6,3
recruit,3
intercept,3
terror,3
ambush,3
fire,3
beastmen,3
buildings,3
growth,3
experience,3
casualties,3
gain,3
drop,3
forest,2
settlements,2
death,2
expert,2
hashut,2
lores,2
effect,2
1,2
elves,2
speed,2
metal,2
norsca,2
daemons,2
recruitment,2
warherds,2
territory,2
warriors,2
post,2
battle,2
artillery,2
chariot,2
suffered,2
unit,2
miscast,2
50,2
stealing,2
kislev,2
own,2
base,2
defense,2
regeneration,2
campaign,2
your,2
flaming,2
bolster,1
12,1
stalk,1
trade,1
swamp,1
points,1
effects,1
forces,1
plagues,1
contact,1
global,1
nuture,1
hit,1
desert,1
7,1
explosive,1
wood,1
loren,1
athel,1
reduction,1
loss,1
vigour,1
embedded,1
time,1
recovery,1
wound,1
poison,1
sacking,1
coast,1
kings,1
tomb,1
intercepting,1
an,1
sandstorm,1
spreading,1
chariots,1
100,1
radius,1
explosion,1
80,1
armies,1
plague,1
settlement,1
bretonnia,1
greenskins,1
high,1
duration,1
strenght,1
construction,1
armorpiercing,1
lord,1
accompanying,1
dwarfs,1
on,1
using,1
map,1
40,1
frenzy,1
raiding,1
aggressors,1
wounding,1
selfdefence,1
attritions,1
monstrous,1
reef,1
magicpower,1
double,1
upkeep,1
changing,1
skeleton,1
the,1
underway,1
unbreakable,1
deployment,1
vanguard,1
sight,1
line,1
movement,1
untainted,1
storm,1
captured,1
size,1
aura,1
beastpaths,1
or,1
worldroots,1
targeting,1
frostbite,1
cavalry,1
chivalry,1
postbattle,1
